"Viridis_ICM2.spc - RawData"
"Wavelength nm.","Abs."
836.0,0.13199
837.0,0.12999
838.0,0.12725
839.0,0.12371
840.0,0.12283
841.0,0.12013
842.0,0.11816
843.0,0.11509
844.0,0.11155
845.0,0.11356
846.0,0.11103
847.0,0.10451
848.0,0.10647
849.0,0.10555
850.0,0.10141
851.0,0.09947
852.0,0.10215
853.0,0.09643
854.0,0.09525
855.0,0.10080
856.0,0.09384
857.0,0.08914
858.0,0.08642
859.0,0.09325
860.0,0.08443
861.0,0.08871
862.0,0.08866
863.0,0.08672
864.0,0.08871
865.0,0.08870
866.0,0.08008
867.0,0.08045
868.0,0.08540
869.0,0.08403
870.0,0.08328
871.0,0.08443
872.0,0.08433
873.0,0.08286
874.0,0.08514
875.0,0.08494
876.0,0.08580
877.0,0.08451
878.0,0.08271
879.0,0.08326
880.0,0.08700
881.0,0.08572
882.0,0.08637
883.0,0.08837
884.0,0.08680
885.0,0.09131
886.0,0.08818
887.0,0.09279
888.0,0.09092
889.0,0.09424
890.0,0.09559
891.0,0.09350
892.0,0.09094
893.0,0.09544
894.0,0.09859
895.0,0.09434
896.0,0.09890
897.0,0.09686
898.0,0.09808
899.0,0.09993
900.0,0.09911
901.0,0.09940
902.0,0.10172
903.0,0.10159
904.0,0.10196
905.0,0.10441
906.0,0.10619
907.0,0.10572
908.0,0.10657
909.0,0.10979
910.0,0.11472
911.0,0.11117
912.0,0.11506
913.0,0.11511
914.0,0.11816
915.0,0.11889
916.0,0.12163
917.0,0.12024
918.0,0.12444
919.0,0.12245
920.0,0.12929
921.0,0.12786
922.0,0.13018
923.0,0.13416
924.0,0.13609
925.0,0.13618
926.0,0.14092
927.0,0.14315
928.0,0.14554
929.0,0.14777
930.0,0.15109
931.0,0.15309
932.0,0.15545
933.0,0.15674
934.0,0.16075
935.0,0.16531
936.0,0.16772
937.0,0.17039
938.0,0.17617
939.0,0.18046
940.0,0.18135
941.0,0.18484
942.0,0.18978
943.0,0.19308
944.0,0.19792
945.0,0.20351
946.0,0.20797
947.0,0.21264
948.0,0.21692
949.0,0.22118
950.0,0.22655
951.0,0.23068
952.0,0.23411
953.0,0.24466
954.0,0.24707
955.0,0.25661
956.0,0.26238
957.0,0.26719
958.0,0.27240
959.0,0.28337
960.0,0.28958
961.0,0.29777
962.0,0.30486
963.0,0.31467
964.0,0.32213
965.0,0.32959
966.0,0.33610
967.0,0.35109
968.0,0.35565
969.0,0.36813
970.0,0.37498
971.0,0.38756
972.0,0.39621
973.0,0.40936
974.0,0.42221
975.0,0.43366
976.0,0.44816
977.0,0.46008
978.0,0.47572
979.0,0.48589
980.0,0.50188
981.0,0.51607
982.0,0.52946
983.0,0.54364
984.0,0.56123
985.0,0.57932
986.0,0.59909
987.0,0.61001
988.0,0.62903
989.0,0.64828
990.0,0.66664
991.0,0.68696
992.0,0.70150
993.0,0.72178
994.0,0.74402
995.0,0.76203
996.0,0.77777
997.0,0.80083
998.0,0.81549
999.0,0.83979
1000.0,0.85610
1001.0,0.87447
1002.0,0.88910
1003.0,0.90531
1004.0,0.92235
1005.0,0.93575
1006.0,0.94821
1007.0,0.95695
1008.0,0.96529
1009.0,0.97785
1010.0,0.99449
1011.0,0.99379
1012.0,1.00329
1013.0,1.01503
1014.0,1.00438
1015.0,0.99764
1016.0,1.00132
1017.0,1.00412
1018.0,0.99965
1019.0,0.99044
1020.0,0.97853
1021.0,0.96986
1022.0,0.96391
1023.0,0.94568
1024.0,0.93436
1025.0,0.91703
1026.0,0.90514
1027.0,0.88428
1028.0,0.86498
1029.0,0.84735
1030.0,0.82201
1031.0,0.80364
1032.0,0.77347
1033.0,0.75802
1034.0,0.73360
1035.0,0.70486
1036.0,0.68478
1037.0,0.66162
1038.0,0.64118
1039.0,0.61260
1040.0,0.59299
1041.0,0.56379
1042.0,0.54079
1043.0,0.52120
1044.0,0.49390
1045.0,0.47480
1046.0,0.44957
1047.0,0.42857
1048.0,0.40729
1049.0,0.38692
1050.0,0.36709
1051.0,0.34959
1052.0,0.33100
1053.0,0.31156
1054.0,0.29086
1055.0,0.27816
1056.0,0.26112
1057.0,0.24744
1058.0,0.23149
1059.0,0.22139
1060.0,0.20697
1061.0,0.19709
1062.0,0.18049
1063.0,0.17322
1064.0,0.16128
1065.0,0.15164
1066.0,0.14279
1067.0,0.13561
1068.0,0.12565
1069.0,0.12010
1070.0,0.11246
1071.0,0.10723
1072.0,0.10025
1073.0,0.09345
1074.0,0.08721
1075.0,0.08387
1076.0,0.07759
1077.0,0.07510
1078.0,0.07048
1079.0,0.06751
1080.0,0.06176
1081.0,0.05917
1082.0,0.05620
1083.0,0.05260
1084.0,0.05381
1085.0,0.04946
1086.0,0.04554
1087.0,0.04326
1088.0,0.04237
1089.0,0.04106
1090.0,0.03837
1091.0,0.03763
1092.0,0.03419
1093.0,0.03437
1094.0,0.03361
1095.0,0.03107
1096.0,0.03282
1097.0,0.03027
1098.0,0.02970
1099.0,0.02856
1100.0,0.02769
1101.0,0.02606
1102.0,0.02596
1103.0,0.02388
